id,name,html_url,forks,stars,size,language,watchers,pull_requests,contributors,commits
17609045,pacman,https://github.com/visma/pacman,3,4,10676,Java,https://api.github.com/repos/visma/pacman/contributors,2,0,-1,27
7849046,Pacman,https://github.com/kean/Pacman,1,20,5433,Objective-C,https://api.github.com/repos/kean/Pacman/contributors,4,0,-1,88
2592776,Pacman,https://github.com/Hasselmannen/Pacman,2,5,552,PHP,https://api.github.com/repos/Hasselmannen/Pacman/contributors,3,0,-1,37
47087442,pacman,https://github.com/jcalisson/pacman,1,18,17,C,https://api.github.com/repos/jcalisson/pacman/contributors,1,0,-1,17
24539804,pacman,https://github.com/alaneric1618/pacman,3,0,682,Java,https://api.github.com/repos/alaneric1618/pacman/contributors,4,0,-1,91
2182674,moai-based-pacman,https://github.com/bennychen/moai-based-pacman,8,24,4064,Lua,https://api.github.com/repos/bennychen/moai-based-pacman/contributors,3,0,-1,52
30784578,dpkg-pacman,https://github.com/hangyan/dpkg-pacman,6,26,785,Shell,https://api.github.com/repos/hangyan/dpkg-pacman/contributors,4,0,-1,25
14064456,pacman-mirrors,https://github.com/manjaro/pacman-mirrors,7,7,157,Python,https://api.github.com/repos/manjaro/pacman-mirrors/contributors,6,0,-1,200
1160743,android_packages_apps_Pacman,https://github.com/CyanogenMod/android_packages_apps_Pacman,23,38,258,Java,https://api.github.com/repos/CyanogenMod/android_packages_apps_Pacman/contributors,6,0,-1,22
12618759,pacman-osx,https://github.com/kladd/pacman-osx,4,29,330,Shell,https://api.github.com/repos/kladd/pacman-osx/contributors,4,0,-1,18
33145355,PacMan,https://github.com/magdgar/PacMan,2,2,509,Python,https://api.github.com/repos/magdgar/PacMan/contributors,2,0,-1,143
7380194,pacman,https://github.com/Absor/pacman,3,2,436,JavaScript,https://api.github.com/repos/Absor/pacman/contributors,0,0,-1,44
7635869,pacman,https://github.com/boyander/pacman,0,8,35059,ActionScript,https://api.github.com/repos/boyander/pacman/contributors,2,0,-1,62
9111933,Pacman,https://github.com/santialbo/Pacman,0,6,394,CoffeeScript,https://api.github.com/repos/santialbo/Pacman/contributors,1,0,-1,124
28652767,pacman,https://github.com/Voidly/pacman,0,8,747,CSS,https://api.github.com/repos/Voidly/pacman/contributors,1,0,1,13
1434551,pacmanager,https://github.com/perseo22/pacmanager,2,36,1681,Perl,https://api.github.com/repos/perseo22/pacmanager/contributors,8,2,-1,18
10211887,pacman,https://github.com/tomca32/pacman,0,5,6907,JavaScript,https://api.github.com/repos/tomca32/pacman/contributors,1,0,-1,65
686970,pacman,https://github.com/zeljkofilipin/pacman,0,5,220,Ruby,https://api.github.com/repos/zeljkofilipin/pacman/contributors,1,0,-1,165
17426206,PacMan,https://github.com/allenhuffman/PacMan,2,0,136,Arduino,https://api.github.com/repos/allenhuffman/PacMan/contributors,1,0,-1,2
22012191,Pacman,https://github.com/Pacman555/Pacman,2,0,120849,Java,https://api.github.com/repos/Pacman555/Pacman/contributors,5,0,-1,144
2102916,pacman,https://github.com/moben/pacman,1,5,9736,C,https://api.github.com/repos/moben/pacman/contributors,2,0,-1,4
8163257,Pacman,https://github.com/ericdekruijf/Pacman,2,0,686,Java,https://api.github.com/repos/ericdekruijf/Pacman/contributors,6,0,-1,30
24035745,pacman,https://github.com/bobeff/pacman,0,5,553,C++,https://api.github.com/repos/bobeff/pacman/contributors,1,0,-1,49
4515980,pacman,https://github.com/newagebegins/pacman,1,4,541,JavaScript,https://api.github.com/repos/newagebegins/pacman/contributors,1,0,-1,77
22114998,pacman,https://github.com/dsouzarc/pacman,0,5,6980,Java,https://api.github.com/repos/dsouzarc/pacman/contributors,2,0,-1,165
21013182,pacman,https://github.com/scaled/pacman,2,1,157,Java,https://api.github.com/repos/scaled/pacman/contributors,3,0,-1,118
10875370,PacMan,https://github.com/satls/PacMan,2,0,318,JavaScript,https://api.github.com/repos/satls/PacMan/contributors,2,0,-1,17
15817278,Pacman,https://github.com/NullScope/Pacman,2,1,38947,ASP,https://api.github.com/repos/NullScope/Pacman/contributors,1,0,-1,27
6483006,Pacman,https://github.com/hbokmann/Pacman,2,4,6975,Python,https://api.github.com/repos/hbokmann/Pacman/contributors,1,0,-1,33
6995059,PacMan,https://github.com/igul222/PacMan,2,1,163,Java,https://api.github.com/repos/igul222/PacMan/contributors,2,0,-1,6
16787428,pacman,https://github.com/mDibyo/pacman,3,1,295,Python,https://api.github.com/repos/mDibyo/pacman/contributors,1,0,1,2
41837624,PacMan,https://github.com/Void20/PacMan,2,0,110,Java,https://api.github.com/repos/Void20/PacMan/contributors,1,0,-1,3
