id,name,html_url,forks,stars,size,language
18753205,2014-PacMan-TestHarness,https://github.com/EntelectChallenge/2014-PacMan-TestHarness,13,11,2859,C#
2611345,OPAcman,https://github.com/HenJi/OPAcman,5,12,119,
13824647,PacMan-IS12,https://github.com/T1mo18/PacMan-IS12,3,5,358,Python
12117957,libgdx-pacman,https://github.com/simondid/libgdx-pacman,6,4,173656,Logos
5007584,jpacman-framework-v5,https://github.com/avandeursen/jpacman-framework-v5,25,11,351,Java
1193838,aurget,https://github.com/pbrisbin/aurget,12,47,325,Shell
54326901,hugo-pacman-theme,https://github.com/coderzh/hugo-pacman-theme,5,6,4317,CSS
1191089,pacman_server,https://github.com/knutin/pacman_server,3,5,199,Erlang
7595030,montecarlo-pacman,https://github.com/stewartml/montecarlo-pacman,4,8,1876,Java
18752967,2014-PacMan-SampleBot-Java,https://github.com/EntelectChallenge/2014-PacMan-SampleBot-Java,9,12,254,Java
8110093,pacman,https://github.com/StarchLinux/pacman,0,2,1156,C
11014333,Pacman,https://github.com/edoren/Pacman,1,3,2272,C++
4649397,Pacman,https://github.com/BullPaf/Pacman,0,2,736,C
4034290,Pacman,https://github.com/peterlech/Pacman,1,2,197,
837253,Pacman,https://github.com/naoyamakino/Pacman,0,2,1288,Ruby
50409336,pacman,https://github.com/mehr74/pacman,0,3,1671,C++
1193129,pacman,https://github.com/optixx/pacman,0,3,283,VHDL
24912159,Pacman,https://github.com/beneb/Pacman,0,2,2234,Java
16144795,pacman,https://github.com/MaddawgX9/pacman,0,2,454,Python
2964178,Pacman,https://github.com/hussainbohra/Pacman,1,2,130,
17404489,Pacman,https://github.com/michalsosn/Pacman,0,2,960,C
20801558,PACMAN,https://github.com/SpiNNakerManchester/PACMAN,1,2,1666,Python
7012932,Pacman,https://github.com/Joncom/Pacman,0,2,256,
9413522,pacman,https://github.com/wsky/pacman,0,3,796,Java
4306214,PacMan,https://github.com/irpap/PacMan,1,3,146,Dart
4254076,Pacman,https://github.com/KostoloM211/Pacman,0,2,96,C++
3786253,pacman,https://github.com/metaloph1l/pacman,1,2,844,Java
3721319,Pacman,https://github.com/Zathki/Pacman,2,3,430,Turing
369156,pacman,https://github.com/lagenar/pacman,0,2,4666,C
1477418,pacman,https://github.com/terralinux/pacman,0,2,1851,C
18834952,pacman,https://github.com/TheSLinux-forks/pacman,1,2,13564,C
28780302,pacman,https://github.com/mmanshanden/pacman,0,2,9022,C#
36049051,pacman,https://github.com/rfrm/pacman,0,3,2504,Java
40052467,pacman,https://github.com/mojoboss/pacman,1,2,900,Python
31139216,pacman,https://github.com/kghandhi/pacman,1,3,1337,Elm
33211271,pacman,https://github.com/ebuc99/pacman,1,3,3134,Shell
