time,avg_stars
2014/3,85.759740259740255
2014/4,7.4222222222222225
2014/5,3.5647058823529414
2014/6,41.192982456140349
2014/7,1.3548387096774193
2014/8,4.5869565217391308
2014/9,5.6799999999999997
2014/10,1.4333333333333333
2014/11,1.1428571428571428
2014/12,0.1111111111111111
2015/1,1.7142857142857142
2015/2,0.56097560975609762
2015/3,3.7200000000000002
2015/4,1.3125
2015/5,6.8571428571428568
2015/6,3.8999999999999999
2015/7,1.2903225806451613
2015/8,0.36363636363636365
2015/9,3.6842105263157894
2015/10,2.3636363636363638
2015/11,1.7272727272727273
2015/12,0.69230769230769229
2016/1,0.52173913043478259
2016/2,0.0625
2016/3,0.13333333333333333
2016/4,0.84615384615384615
