id,name,html_url,forks,stars,size,language,url,created_at,watchers,pull_requests,commits
39213776,2048,https://github.com/nikiollie/2048,0,0,0,,https://api.github.com/repos/nikiollie/2048,2015-07-16T18:34:20Z,1,0,-1
39225399,2048,https://github.com/BBTestApps/2048,0,0,1880,Objective-C,https://api.github.com/repos/BBTestApps/2048,2015-07-16T23:32:44Z,1,0,52
31256335,2048,https://github.com/zhangjingye03/2048,0,0,180,JavaScript,https://api.github.com/repos/zhangjingye03/2048,2015-02-24T11:05:09Z,1,0,4
31502674,2048,https://github.com/meriadec/2048,0,0,308,C,https://api.github.com/repos/meriadec/2048,2015-03-01T16:39:45Z,2,0,80
31502795,2048,https://github.com/xacoquan/2048,0,0,124,C,https://api.github.com/repos/xacoquan/2048,2015-03-01T16:44:07Z,1,0,3
31507871,2048,https://github.com/EricManiez/2048,0,0,152,C,https://api.github.com/repos/EricManiez/2048,2015-03-01T19:31:37Z,1,0,1
31481937,2048,https://github.com/jbrozzu/2048,0,0,200,C,https://api.github.com/repos/jbrozzu/2048,2015-03-01T00:30:53Z,1,0,9
31517236,2048,https://github.com/layupbolon/2048,1,0,264,C#,https://api.github.com/repos/layupbolon/2048,2015-03-02T00:53:46Z,1,0,1
44423281,2048,https://github.com/guoyu19961004/2048,0,0,108,JavaScript,https://api.github.com/repos/guoyu19961004/2048,2015-10-17T03:57:42Z,1,0,1
40654735,2048,https://github.com/timothypro/2048,0,0,120,JavaScript,https://api.github.com/repos/timothypro/2048,2015-08-13T11:18:13Z,1,0,2
40657129,2048,https://github.com/bonilka/2048,0,0,140,JavaScript,https://api.github.com/repos/bonilka/2048,2015-08-13T12:17:20Z,1,0,6
41302279,2048,https://github.com/Linzecong/2048,0,1,132,C++,https://api.github.com/repos/Linzecong/2048,2015-08-24T12:39:32Z,1,0,3
40888958,2048,https://github.com/ccompera/2048,0,0,124,C,https://api.github.com/repos/ccompera/2048,2015-08-17T11:25:07Z,1,0,1
41510863,2048,https://github.com/theonlyrealquality/2048,0,0,396,JavaScript,https://api.github.com/repos/theonlyrealquality/2048,2015-08-27T20:55:33Z,1,0,2
41634855,2048,https://github.com/denbedilov/2048,0,0,132,Java,https://api.github.com/repos/denbedilov/2048,2015-08-30T16:16:58Z,2,0,11
38231425,2048,https://github.com/Amit072/2048,0,0,0,,https://api.github.com/repos/Amit072/2048,2015-06-29T06:30:56Z,1,0,-1
38159527,2048,https://github.com/sumodream/2048,1,0,3060,JavaScript,https://api.github.com/repos/sumodream/2048,2015-06-27T12:36:35Z,1,0,1
38162408,2048,https://github.com/shsm385/2048,0,0,96,Java,https://api.github.com/repos/shsm385/2048,2015-06-27T14:11:03Z,1,0,1
38605136,2048,https://github.com/loyerk/2048,0,0,2344,JavaScript,https://api.github.com/repos/loyerk/2048,2015-07-06T07:52:28Z,1,0,2
38432220,2048,https://github.com/velinapetrova/2048,0,0,172,Java,https://api.github.com/repos/velinapetrova/2048,2015-07-02T12:45:08Z,1,0,17
38422939,2048,https://github.com/LukasNavickas/2048,0,0,276,JavaScript,https://api.github.com/repos/LukasNavickas/2048,2015-07-02T09:14:05Z,1,0,2
33672535,2048,https://github.com/roneilPMH/2048,0,0,392,JavaScript,https://api.github.com/repos/roneilPMH/2048,2015-04-09T14:08:11Z,1,0,5
35355717,2048,https://github.com/Lynzabo/2048,0,0,2268,Java,https://api.github.com/repos/Lynzabo/2048,2015-05-10T03:37:09Z,1,0,5
