time,avg_stars
2008/11,10.0
2009/7,1.0
2009/11,2.0
2010/1,82.666666666666671
2010/5,105.5
2010/7,391.0
2010/8,1.5
2010/9,21.0
2010/10,1.0
2010/11,137.0
2010/12,23.25
2011/1,1.0
2011/2,1.0
2011/3,14.5
2011/6,4.0
2011/7,7.0
2011/8,20.75
2011/9,1.8333333333333333
2011/10,4.5999999999999996
2011/11,12.0
2011/12,1.2
2012/1,2.0
2012/2,7.0
2012/3,2.625
2012/4,1.0
2012/5,6.8571428571428568
2012/6,3.1666666666666665
2012/7,14.0
2012/8,0.0
2012/9,0.0
2012/10,0.27272727272727271
2012/11,7.8888888888888893
2012/12,0.625
2013/1,3.5454545454545454
2013/2,10.181818181818182
2013/3,35.357142857142854
2013/4,1.5714285714285714
2013/5,1.0
2013/6,0.66666666666666663
2013/7,4.2857142857142856
2013/8,3.0
2013/9,3.625
2013/10,6.4615384615384617
2013/11,2.4615384615384617
2013/12,0.0
2014/1,18.444444444444443
2014/2,0.1875
2014/3,18.928571428571427
2014/4,1.1111111111111112
2014/5,0.041666666666666664
2014/6,0.25
2014/7,1.3999999999999999
2014/8,0.083333333333333329
2014/9,0.36363636363636365
2014/10,0.14285714285714285
2014/11,0.83333333333333337
2014/12,1.0
2015/1,0.81081081081081086
2015/2,1.7777777777777777
2015/3,0.28205128205128205
2015/4,0.057142857142857141
2015/5,0.1875
2015/6,0.10714285714285714
2015/7,0.13636363636363635
2015/8,1.6363636363636365
2015/9,0.047619047619047616
2015/10,0.62745098039215685
2015/11,0.59999999999999998
2015/12,3.4615384615384617
2016/1,0.4838709677419355
2016/2,0.07407407407407407
2016/3,0.37931034482758619
2016/4,0.043478260869565216
2016/5,0.0
