3799
id,name,html_url,forks,stargazers_count,size,language,url,created_at
47087442,pacman,https://github.com/jcalisson/pacman,1,18,17,C,https://api.github.com/repos/jcalisson/pacman,2015-11-30T01:09:33Z
2182674,moai-based-pacman,https://github.com/bennychen/moai-based-pacman,8,24,4064,Lua,https://api.github.com/repos/bennychen/moai-based-pacman,2011-08-10T01:02:43Z
30784578,dpkg-pacman,https://github.com/hangyan/dpkg-pacman,6,26,785,Shell,https://api.github.com/repos/hangyan/dpkg-pacman,2015-02-14T02:18:20Z
14064456,pacman-mirrors,https://github.com/manjaro/pacman-mirrors,7,7,157,Python,https://api.github.com/repos/manjaro/pacman-mirrors,2013-11-02T10:27:42Z
1160743,android_packages_apps_Pacman,https://github.com/CyanogenMod/android_packages_apps_Pacman,24,38,258,Java,https://api.github.com/repos/CyanogenMod/android_packages_apps_Pacman,2010-12-12T09:55:19Z
12618759,pacman-osx,https://github.com/kladd/pacman-osx,4,28,330,Shell,https://api.github.com/repos/kladd/pacman-osx,2013-09-05T13:48:07Z
33145355,PacMan,https://github.com/magdgar/PacMan,2,2,509,Python,https://api.github.com/repos/magdgar/PacMan,2015-03-30T20:11:01Z
9111933,Pacman,https://github.com/santialbo/Pacman,0,6,394,CoffeeScript,https://api.github.com/repos/santialbo/Pacman,2013-03-30T05:28:58Z
28652767,pacman,https://github.com/Voidly/pacman,0,8,747,CSS,https://api.github.com/repos/Voidly/pacman,2014-12-31T02:18:20Z
7380194,pacman,https://github.com/Absor/pacman,3,2,436,JavaScript,https://api.github.com/repos/Absor/pacman,2012-12-30T20:44:24Z
7635869,pacman,https://github.com/boyander/pacman,0,9,35059,ActionScript,https://api.github.com/repos/boyander/pacman,2013-01-16T00:03:51Z
1434551,pacmanager,https://github.com/perseo22/pacmanager,2,37,1681,Perl,https://api.github.com/repos/perseo22/pacmanager,2011-03-03T10:24:43Z
2102916,pacman,https://github.com/moben/pacman,1,5,9736,C,https://api.github.com/repos/moben/pacman,2011-07-25T19:19:28Z
