time,avg_stars
2014/1,17.0
2014/2,35.649635036496349
2014/3,5.1492537313432836
2014/4,10.75
2014/5,3.4857142857142858
2014/6,198.35714285714286
2014/7,10.464285714285714
2014/8,1.4814814814814814
2014/9,2.657142857142857
2014/10,0.90322580645161288
2014/11,1.5714285714285714
2014/12,0.95238095238095233
2015/1,1.0
2015/2,2.0357142857142856
2015/3,0.92307692307692313
2015/4,0.72222222222222221
2015/5,0.33333333333333331
2015/6,1.8333333333333333
2015/7,1.935483870967742
2015/8,1.3333333333333333
2015/9,0.33333333333333331
2015/10,0.9375
2015/11,5.0952380952380949
2015/12,0.70370370370370372
2016/1,0.40740740740740738
2016/2,0.15789473684210525
2016/3,32.240000000000002
2016/4,2.7884615384615383
2016/5,0.13333333333333333
