id,name,html_url,forks,stars,size,language,url,created_at
3473437,dijkstra,https://github.com/andrewhayward/dijkstra,27,68,107,JavaScript,https://api.github.com/repos/andrewhayward/dijkstra,2012-02-17T20:11:10Z
1398985,dijkstra,https://github.com/stewbob/dijkstra,10,11,111,Java,https://api.github.com/repos/stewbob/dijkstra,2011-02-22T19:23:52Z
56004753,dijkstra-cartography,https://github.com/ibaaj/dijkstra-cartography,36,932,49829,C++,https://api.github.com/repos/ibaaj/dijkstra-cartography,2016-04-11T20:19:57Z
7941142,dijkstra,https://github.com/julianbrowne/dijkstra,5,18,494,JavaScript,https://api.github.com/repos/julianbrowne/dijkstra,2013-01-31T17:03:40Z
8120179,dijkstras-algorithm,https://github.com/mburst/dijkstras-algorithm,56,126,21,Java,https://api.github.com/repos/mburst/dijkstras-algorithm,2013-02-10T07:26:42Z
15601505,dijkstra,https://github.com/gaye/dijkstra,3,5,100,JavaScript,https://api.github.com/repos/gaye/dijkstra,2014-01-03T04:51:46Z
5071281,Dijkstra,https://github.com/mapa17/Dijkstra,4,2,135,C,https://api.github.com/repos/mapa17/Dijkstra,2012-07-16T18:11:36Z
20595513,Dijkstra-swift,https://github.com/juliengomes/Dijkstra-swift,9,29,185,Swift,https://api.github.com/repos/juliengomes/Dijkstra-swift,2014-06-07T14:59:29Z
125576,dijkstra,https://github.com/dbrady/dijkstra,1,6,100,Ruby,https://api.github.com/repos/dbrady/dijkstra,2009-02-10T05:40:10Z
23679618,dijkstra,https://github.com/thinkphp/dijkstra,2,4,227,C++,https://api.github.com/repos/thinkphp/dijkstra,2014-09-04T21:15:42Z
5143636,dijkstra,https://github.com/maryrosecook/dijkstra,1,16,144,Clojure,https://api.github.com/repos/maryrosecook/dijkstra,2012-07-22T18:24:33Z
53753541,DijkstraPrimes,https://github.com/HeinrichHartmann/DijkstraPrimes,6,14,6,Lua,https://api.github.com/repos/HeinrichHartmann/DijkstraPrimes,2016-03-12T21:11:26Z
8390195,mj-dijkstra,https://github.com/dmitrikozlov/mj-dijkstra,6,9,352,Objective-C,https://api.github.com/repos/dmitrikozlov/mj-dijkstra,2013-02-24T12:05:00Z
1898349,Dijkstra,https://github.com/fedelebron/Dijkstra,2,6,122,C,https://api.github.com/repos/fedelebron/Dijkstra,2011-06-15T04:10:13Z
47256024,dijkstra,https://github.com/vterron/dijkstra,1,6,8,Python,https://api.github.com/repos/vterron/dijkstra,2015-12-02T11:12:43Z
579637,dijkstra,https://github.com/rpersaud/dijkstra,2,2,292,Java,https://api.github.com/repos/rpersaud/dijkstra,2010-03-25T20:36:23Z
10100128,Dijkstra,https://github.com/CharlesGarrocho/Dijkstra,2,1,186,FORTRAN,https://api.github.com/repos/CharlesGarrocho/Dijkstra,2013-05-16T11:52:59Z
31375461,dijkstra,https://github.com/diogomg/dijkstra,2,0,178,C,https://api.github.com/repos/diogomg/dijkstra,2015-02-26T16:08:13Z
2561172,scala-dijkstra,https://github.com/yin/scala-dijkstra,4,6,136,Scala,https://api.github.com/repos/yin/scala-dijkstra,2011-10-12T08:41:40Z
33822538,node-dijkstra,https://github.com/albertorestifo/node-dijkstra,4,10,75,JavaScript,https://api.github.com/repos/albertorestifo/node-dijkstra,2015-04-12T15:38:04Z
15166809,APGraph-Route,https://github.com/elpsk/APGraph-Route,5,17,2856,Objective-C,https://api.github.com/repos/elpsk/APGraph-Route,2013-12-13T15:21:44Z
21306844,dijkstra,https://github.com/joyrexus/dijkstra,1,2,156,Python,https://api.github.com/repos/joyrexus/dijkstra,2014-06-28T16:38:38Z
2774234,dijkstra,https://github.com/aaronmaturen/dijkstra,0,3,906,C++,https://api.github.com/repos/aaronmaturen/dijkstra,2011-11-14T18:36:19Z
10122344,Dijkstra,https://github.com/GabrielRocha/Dijkstra,1,2,1799,Python,https://api.github.com/repos/GabrielRocha/Dijkstra,2013-05-17T11:58:37Z
843183,dijkstra,https://github.com/ejackson/dijkstra,0,2,104,Clojure,https://api.github.com/repos/ejackson/dijkstra,2010-08-17T09:16:25Z
19843173,dijkstra,https://github.com/qubbit/dijkstra,0,3,256,JavaScript,https://api.github.com/repos/qubbit/dijkstra,2014-05-16T03:11:13Z
20754413,dijkstra,https://github.com/Professorq/dijkstra,0,3,160,Go,https://api.github.com/repos/Professorq/dijkstra,2014-06-12T04:20:01Z
3978725,dijkstra-js,https://github.com/bm1362/dijkstra-js,4,2,97,JavaScript,https://api.github.com/repos/bm1362/dijkstra-js,2012-04-10T03:58:43Z
9644212,JavaScript-Dijkstra-Class,https://github.com/chehabz/JavaScript-Dijkstra-Class,7,5,180,JavaScript,https://api.github.com/repos/chehabz/JavaScript-Dijkstra-Class,2013-04-24T09:52:00Z
2299715,PESGraph,https://github.com/snyderp/PESGraph,23,76,226,Objective-C,https://api.github.com/repos/snyderp/PESGraph,2011-08-31T05:18:12Z
10548078,cpp-expression-parser,https://github.com/bamos/cpp-expression-parser,13,21,175,C++,https://api.github.com/repos/bamos/cpp-expression-parser,2013-06-07T10:57:19Z
8555906,dijkstra,https://github.com/frankh/dijkstra,0,0,128,Erlang,https://api.github.com/repos/frankh/dijkstra,2013-03-04T13:18:22Z
10367043,dijkstra,https://github.com/DjGorillaz/dijkstra,0,0,136,C++,https://api.github.com/repos/DjGorillaz/dijkstra,2013-05-29T18:59:51Z
11323895,dijkstra,https://github.com/jcounts/dijkstra,0,0,108,Java,https://api.github.com/repos/jcounts/dijkstra,2013-07-10T20:45:02Z
13615903,dijkstra,https://github.com/aibou/dijkstra,0,0,104,Ruby,https://api.github.com/repos/aibou/dijkstra,2013-10-16T10:11:41Z
13871196,dijkstra,https://github.com/berkowitz/dijkstra,0,0,100,Ruby,https://api.github.com/repos/berkowitz/dijkstra,2013-10-25T20:19:49Z
13871237,dijkstra,https://github.com/fanta/dijkstra,0,0,136,Ruby,https://api.github.com/repos/fanta/dijkstra,2013-10-25T20:21:33Z
13871323,dijkstra,https://github.com/vicmaster/dijkstra,0,0,105,Ruby,https://api.github.com/repos/vicmaster/dijkstra,2013-10-25T20:25:09Z
13871439,dijkstra,https://github.com/supherman/dijkstra,0,0,136,Ruby,https://api.github.com/repos/supherman/dijkstra,2013-10-25T20:32:23Z
14477948,dijkstra,https://github.com/allisonkookoo/dijkstra,0,0,56,,https://api.github.com/repos/allisonkookoo/dijkstra,2013-11-17T23:55:14Z
15161570,Dijkstra,https://github.com/vaneMB/Dijkstra,0,0,116,Java,https://api.github.com/repos/vaneMB/Dijkstra,2013-12-13T11:01:07Z
1408337,Dijkstra,https://github.com/mitch000001/Dijkstra,0,1,140,Java,https://api.github.com/repos/mitch000001/Dijkstra,2011-02-24T21:06:28Z
1816792,dijkstra,https://github.com/gseaton/dijkstra,1,1,156,Scala,https://api.github.com/repos/gseaton/dijkstra,2011-05-29T07:56:08Z
583327,Dijkstra,https://github.com/huangyingw/Dijkstra,0,1,1032,C++,https://api.github.com/repos/huangyingw/Dijkstra,2010-03-28T13:24:15Z
17483971,dijkstra,https://github.com/rutayanp/dijkstra,1,0,224,C++,https://api.github.com/repos/rutayanp/dijkstra,2014-03-06T16:17:39Z
30979776,Dijkstra,https://github.com/lucasfernand-es/Dijkstra,0,0,172,C,https://api.github.com/repos/lucasfernand-es/Dijkstra,2015-02-18T18:30:44Z
31026440,dijkstra,https://github.com/MontyGoose/dijkstra,0,0,108,JavaScript,https://api.github.com/repos/MontyGoose/dijkstra,2015-02-19T17:10:36Z
27155552,Dijkstra,https://github.com/dagreatemly/Dijkstra,1,0,132,Java,https://api.github.com/repos/dagreatemly/Dijkstra,2014-11-26T02:11:34Z
